date,movement,set_no,reps,weight
4/4/24,Incline Dumbell Press,1,8,40
4/4/24,Incline Dumbell Press,2,8,55
4/4/24,Incline Dumbell Press,3,8,65
4/4/24,Incline Dumbell Press,4,6,65
4/4/24,One Arm Cable Row,1,8,45
4/4/24,One Arm Cable Row,2,8,55
4/4/24,One Arm Cable Row,3,8,70
4/4/24,One Arm Cable Row,4,8,70
4/4/24,One Arm Chest Press,1,8,85
4/4/24,One Arm Chest Press,2,8,95
4/4/24,One Arm Chest Press,3,8,95
4/4/24,One Arm Chest Press,4,8,90
4/4/24,Lat Pulldown,1,8,90
4/4/24,Lat Pulldown,2,8,115
4/4/24,Lat Pulldown,3,8,135
4/4/24,Lat Pulldown,4,7,125